team0,team1,team0_score,team1_score,ot,ot_time,team0_pl,team1_pl,game_num,player_num,time,region,team0_match_score,team1_match_score,team0_win,team1_win,goals_scored
Sandrock Gaming,FC Barcelona,4.0,3.0,True,2:18,"['Ahmad', 'SENZO', 'oKhaliD']","['Deevo', 'Ronaky', 'Seeb']",1,3,"May 21, 2020 - 22:00 CEST",Europe,3,0,True,False,7.0
Sandrock Gaming,FC Barcelona,7.0,1.0,False,0:00,"['Ahmad', 'oKhaliD']","['Deevo', 'Ronaky']",2,2,"May 21, 2020 - 22:00 CEST",Europe,3,0,True,False,8.0
Sandrock Gaming,FC Barcelona,9.0,4.0,False,0:00,['oKhaliD'],['Ronaky'],3,1,"May 21, 2020 - 22:00 CEST",Europe,3,0,True,False,13.0
Nameless,Team Singularity,2.0,1.0,True,0:04,"['DmentZa', 'Oscillon', 'Rix_Ronday']","['Scrub Killa', 'ThO', 'noly']",1,3,"May 21, 2020 - 22:00 CEST",Europe,3,2,True,False,3.0
Nameless,Team Singularity,1.0,7.0,False,0:00,"['DmentZa', 'Rix_Ronday']","['ThO', 'noly']",2,2,"May 21, 2020 - 22:00 CEST",Europe,3,2,False,True,8.0
Nameless,Team Singularity,6.0,4.0,False,0:00,['DmentZa'],['Scrub Killa'],3,1,"May 21, 2020 - 22:00 CEST",Europe,3,2,True,False,10.0
Nameless,Team Singularity,2.0,4.0,False,0:00,"['DmentZa', 'Rix_Ronday']","['ThO', 'noly']",4,2,"May 21, 2020 - 22:00 CEST",Europe,3,2,False,True,6.0
Nameless,Team Singularity,2.0,1.0,False,0:00,"['DmentZa', 'Oscillon', 'Rix_Ronday']","['Scrub Killa', 'ThO', 'noly']",5,3,"May 21, 2020 - 22:00 CEST",Europe,3,2,True,False,3.0
Renault Vitality,Team BDS,2.0,1.0,False,0:00,"['Alpha54', 'Fairy Peak', 'Kaydop']","['Marc_by_8', 'Monkey Moon', 'Nachitow']",1,3,"May 21, 2020 - 20:00 CEST",Europe,3,0,True,False,3.0
Renault Vitality,Team BDS,2.0,1.0,False,0:00,"['Alpha54', 'Kaydop']","['Marc_by_8', 'Monkey Moon']",2,2,"May 21, 2020 - 20:00 CEST",Europe,3,0,True,False,3.0
Renault Vitality,Team BDS,8.0,5.0,False,0:00,['Fairy Peak'],['Monkey Moon'],3,1,"May 21, 2020 - 20:00 CEST",Europe,3,0,True,False,13.0
Veloce Esports,Oxygen Esports,1.0,2.0,True,2:53,"['FlamE', 'Kassio', 'archie']","['AztraL', 'Chausette45', 'Ferra']",1,3,"May 21, 2020 - 21:00 CEST",Europe,2,3,False,True,3.0
Veloce Esports,Oxygen Esports,5.0,2.0,False,0:00,"['FlamE', 'archie']","['AztraL', 'Chausette45']",2,2,"May 21, 2020 - 21:00 CEST",Europe,2,3,True,False,7.0
Veloce Esports,Oxygen Esports,4.0,11.0,False,0:00,['archie'],['AztraL'],3,1,"May 21, 2020 - 21:00 CEST",Europe,2,3,False,True,15.0
Veloce Esports,Oxygen Esports,4.0,0.0,False,0:00,"['FlamE', 'archie']","['Chausette45', 'Ferra']",4,2,"May 21, 2020 - 21:00 CEST",Europe,2,3,True,False,4.0
Veloce Esports,Oxygen Esports,3.0,9.0,False,0:00,['Kassio'],['AztraL'],5,1,"May 21, 2020 - 21:00 CEST",Europe,2,3,False,True,12.0
Stormtroopers,Endpoint,1.0,2.0,False,0:00,"['Apparently_Jack', 'Dead-Monster', 'Polar']","['Metsanauris', 'RelatingWave', 'virtuoso']",1,3,"May 21, 2020 - 22:00 CEST",Europe,3,2,False,True,3.0
